sid,impd,date,gear,grid,effort
89161,CRSL,8/23/2021,Catfish Electro,30,0.083333333
89156,CRSL,8/23/2021,Catfish Electro,36,0.083333333
89155,CRSL,8/23/2021,Catfish Electro,51,0.083333333
89154,CRSL,8/23/2021,Catfish Electro,55,0.083333333
89158,CRSL,8/23/2021,Catfish Electro,76,0.083333333
89160,CRSL,8/23/2021,Catfish Electro,82,0.083333333
89150,CRSL,8/23/2021,Catfish Electro,91,0.083333333
89153,CRSL,8/23/2021,Catfish Electro,93,0.083333333
89151,CRSL,8/23/2021,Catfish Electro,96,0.083333333
89152,CRSL,8/23/2021,Catfish Electro,106,0.083333333
87748,GESL,6/15/2021,Catfish Electro,9,0.083333333
87747,GESL,6/15/2021,Catfish Electro,23,0.083333333
87746,GESL,6/15/2021,Catfish Electro,25,0.083333333
87749,GESL,6/15/2021,Catfish Electro,29,0.083333333
87750,GESL,6/15/2021,Catfish Electro,37,0.083333333
87745,GESL,6/15/2021,Catfish Electro,39,0.083333333
87751,GESL,6/15/2021,Catfish Electro,48,0.083333333
87744,GESL,6/15/2021,Catfish Electro,51,0.083333333
87743,GESL,6/15/2021,Catfish Electro,56,0.083333333
87742,GESL,6/15/2021,Catfish Electro,64,0.083333333
87947,GESL,6/23/2021,Catfish Electro,9,0.083333333
87946,GESL,6/23/2021,Catfish Electro,23,0.083333333
87945,GESL,6/23/2021,Catfish Electro,25,0.083333333
87948,GESL,6/23/2021,Catfish Electro,29,0.083333333
87949,GESL,6/23/2021,Catfish Electro,37,0.083333333
87944,GESL,6/23/2021,Catfish Electro,39,0.083333333
87950,GESL,6/23/2021,Catfish Electro,48,0.083333333
87943,GESL,6/23/2021,Catfish Electro,51,0.083333333
87942,GESL,6/23/2021,Catfish Electro,56,0.083333333
87941,GESL,6/23/2021,Catfish Electro,64,0.083333333
88040,GESL,6/30/2021,Catfish Electro,9,0.083333333
88039,GESL,6/30/2021,Catfish Electro,23,0.083333333
88038,GESL,6/30/2021,Catfish Electro,25,0.083333333
88041,GESL,6/30/2021,Catfish Electro,29,0.083333333
88042,GESL,6/30/2021,Catfish Electro,37,0.083333333
88037,GESL,6/30/2021,Catfish Electro,39,0.083333333
88043,GESL,6/30/2021,Catfish Electro,48,0.083333333
